,text,Actual Labels,top_class,classes,neu,pos,neg,Result on Polarity score
0,I have great relationship with other people,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04862927603487373}, {'class_name': 'offensive_language', 'confidence': 0.346704100256847}, {'class_name': 'neither', 'confidence': 0.6046666237082794}]",0.594,0.406,0,No Violating Word present 
1,I am released richest person in this world most precious travel you have a modern history,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.046146943457816635}, {'class_name': 'offensive_language', 'confidence': 0.356225234406434}, {'class_name': 'neither', 'confidence': 0.5976278221357494}]",0.654,0.346,0,No Violating Word present 
2,Post show on every single,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.05092347527025326}, {'class_name': 'offensive_language', 'confidence': 0.2700083705273619}, {'class_name': 'neither', 'confidence': 0.6790681542023849}]",1,0,0,No Violating Word present 
3,Racist fire,Violating Word present,Violating word present,"[{'class_name': 'hate_speech', 'confidence': 0.6039441725149312}, {'class_name': 'offensive_language', 'confidence': 0.05446957480245189}, {'class_name': 'neither', 'confidence': 0.3415862526826169}]",0,0,1,Violating word present
4,Donald j trump,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
5,More and more people are,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.11834301046776778}, {'class_name': 'offensive_language', 'confidence': 0.22187993659292596}, {'class_name': 'neither', 'confidence': 0.6597770529393062}]",1,0,0,No Violating Word present 
6,I getting better we have a problem that a worldwide problem this is a worldwide problem but i ve been congratulated by a many country on what we been able to do it will go away and a i say we ve found in the turnover ravan in the cone is going over this is the same for this gun and easter rajasthan is the same for all who told you that even in this by the summer but it got dark winter,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03159463800651686}, {'class_name': 'offensive_language', 'confidence': 0.38404836730827047}, {'class_name': 'neither', 'confidence': 0.5843569946852127}]",0.875,0.022,0.103,No Violating Word present 
7,Twitter,No Violating Word present ,Violating word present,"[{'class_name': 'hate_speech', 'confidence': 0.038406706191623896}, {'class_name': 'offensive_language', 'confidence': 0.5923891351514252}, {'class_name': 'neither', 'confidence': 0.3692041586569509}]",1,0,0,No Violating Word present 
8,He ha no clear plan,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.043209058122855165}, {'class_name': 'offensive_language', 'confidence': 0.34052690907200966}, {'class_name': 'neither', 'confidence': 0.6162640328051352}]",0.396,0.316,0.288,No Violating Word present 
9,Citation can be overwritten,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04129080116744889}, {'class_name': 'offensive_language', 'confidence': 0.3284317748669212}, {'class_name': 'neither', 'confidence': 0.63027742396563}]",1,0,0,No Violating Word present 
10,People learning the diversity,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.06246691789236795}, {'class_name': 'offensive_language', 'confidence': 0.314747490859658}, {'class_name': 'neither', 'confidence': 0.6227855912479741}]",1,0,0,No Violating Word present 
11,Describe the black life matter movement a a symbol of state,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.0731896304809014}, {'class_name': 'offensive_language', 'confidence': 0.27900115984877055}, {'class_name': 'neither', 'confidence': 0.6478092096703281}]",0.901,0.099,0,No Violating Word present 
12,Shared variable and changing white power to million of your support others you set the clock professional athlete exercising their first amendment right should be fired usse do american to say that kind of language is contributing to a climate of hay and ratio of strike i don t know what to say,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.191504862405811}, {'class_name': 'offensive_language', 'confidence': 0.3659915015762295}, {'class_name': 'neither', 'confidence': 0.44250363601795945}]",0.828,0.086,0.086,Violating word present
13,I mean i can say anything,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03977251737065871}, {'class_name': 'offensive_language', 'confidence': 0.32495658222083595}, {'class_name': 'neither', 'confidence': 0.6352709004085054}]",1,0,0,No Violating Word present 
14,It s very it s mixed me,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.0306982940878198}, {'class_name': 'offensive_language', 'confidence': 0.3666546396727711}, {'class_name': 'neither', 'confidence': 0.602647066239409}]",1,0,0,No Violating Word present 
15,Because i am i am the least,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03836156592677474}, {'class_name': 'offensive_language', 'confidence': 0.31659180017084537}, {'class_name': 'neither', 'confidence': 0.6450466339023799}]",1,0,0,No Violating Word present 
16,Racist person i can even see the audience to show the earth,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.3450101058343368}, {'class_name': 'offensive_language', 'confidence': 0.10943300472509733}, {'class_name': 'neither', 'confidence': 0.5455568894405659}]",0.733,0,0.267,No Violating Word present 
17,Ranu mandal list,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
18,Richest person in this world,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.0393730053503985}, {'class_name': 'offensive_language', 'confidence': 0.3317373438479406}, {'class_name': 'neither', 'confidence': 0.6288896508016609}]",0.541,0.459,0,No Violating Word present 
19,Nobody ha done more for the black,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04290019898008495}, {'class_name': 'offensive_language', 'confidence': 0.4008532918487348}, {'class_name': 'neither', 'confidence': 0.5562465091711801}]",0.714,0.286,0,No Violating Word present 
20,Comedi,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
21,With the exception of abraham lincoln except exception of abraham lincoln,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03519218683287281}, {'class_name': 'offensive_language', 'confidence': 0.33748425115527825}, {'class_name': 'neither', 'confidence': 0.6273235620118489}]",1,0,0,No Violating Word present 
22,Hippo show on every single,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.0499419314199617}, {'class_name': 'offensive_language', 'confidence': 0.2747089110901462}, {'class_name': 'neither', 'confidence': 0.6753491574898922}]",1,0,0,No Violating Word present 
23,Racist fire,Violating Word present,Violating word present,"[{'class_name': 'hate_speech', 'confidence': 0.6039441725149312}, {'class_name': 'offensive_language', 'confidence': 0.05446957480245189}, {'class_name': 'neither', 'confidence': 0.3415862526826169}]",0,0,1,Violating word present
24,Abhishek bhagwan,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
25,It vary with trying very hard for this kit come with the paracetamol with bottle in through origin,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.019341062896657074}, {'class_name': 'offensive_language', 'confidence': 0.474080012278628}, {'class_name': 'neither', 'confidence': 0.506578924824715}]",0.909,0,0.091,Violating word present
26,Separate from the pant,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03955996402307523}, {'class_name': 'offensive_language', 'confidence': 0.3019722825957322}, {'class_name': 'neither', 'confidence': 0.6584677533811926}]",1,0,0,No Violating Word present 
27,Excess laughing stock in,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",0.484,0.516,0,No Violating Word present 
28,Bible every notion of your,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.06378393371524331}, {'class_name': 'offensive_language', 'confidence': 0.32362742979535686}, {'class_name': 'neither', 'confidence': 0.6125886364894}]",1,0,0,No Violating Word present 
29,Nation,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
30,When you say the come back they don t come back you say never come back only the really,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04253583603183492}, {'class_name': 'offensive_language', 'confidence': 0.4312383183839973}, {'class_name': 'neither', 'confidence': 0.5262258455841679}]",1,0,0,No Violating Word present 
31,I said to say this,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04983299158041454}, {'class_name': 'offensive_language', 'confidence': 0.326679471464465}, {'class_name': 'neither', 'confidence': 0.6234875369551205}]",1,0,0,No Violating Word present 
32,with the lowest iq he might come back,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03346429067752405}, {'class_name': 'offensive_language', 'confidence': 0.36119509407257855}, {'class_name': 'neither', 'confidence': 0.6053406152498972}]",0.729,0,0.271,No Violating Word present 
33,Is the problem when you run it it s no good so i d like to terminate obamacare come up with a brand new beautiful very costly american people because disturb coronavirus in economics pullover,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.05883643688788579}, {'class_name': 'offensive_language', 'confidence': 0.3806063317574244}, {'class_name': 'neither', 'confidence': 0.5605572313546899}]",0.637,0.203,0.16,No Violating Word present 
34,Will you people have lost their private insurance,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.07853630655497419}, {'class_name': 'offensive_language', 'confidence': 0.3499320230388019}, {'class_name': 'neither', 'confidence': 0.5715316704062239}]",0.753,0,0.247,No Violating Word present 
35,Anyone to check kuwait million more people have another barmer care and over billion people praising condition of people from covid have pre existing condition what are they gon na do,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.08487830020800742}, {'class_name': 'offensive_language', 'confidence': 0.3405700099450947}, {'class_name': 'neither', 'confidence': 0.574551689846898}]",0.812,0.188,0,No Violating Word present 
36,Agar achiever point million on youtube i could find plan europe because the kind of thing you ve done in the kind of money is that your family is taken when you brother make money in a rani million of dollar for the brother brother made of water and it three year in the say you get some of it and you deliver value of house all over the place you live,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.051271653174658406}, {'class_name': 'offensive_language', 'confidence': 0.33947538386686743}, {'class_name': 'neither', 'confidence': 0.6092529629584742}]",0.926,0.074,0,No Violating Word present 
37,Mewati,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
38,Reservation for,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.023896577328981292}, {'class_name': 'offensive_language', 'confidence': 0.2538532852897668}, {'class_name': 'neither', 'confidence': 0.7222501373812519}]",1,0,0,No Violating Word present 
39,Hidden want to talk about this this issue,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.02946221727410455}, {'class_name': 'offensive_language', 'confidence': 0.35115126625951815}, {'class_name': 'neither', 'confidence': 0.6193865164663773}]",0.843,0.157,0,No Violating Word present 
40,His family,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.08363131541617598}, {'class_name': 'offensive_language', 'confidence': 0.3315292544294772}, {'class_name': 'neither', 'confidence': 0.5848394301543467}]",1,0,0,No Violating Word present 
41,Your friend,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.10222989621622083}, {'class_name': 'offensive_language', 'confidence': 0.31275809515180064}, {'class_name': 'neither', 'confidence': 0.5850120086319786}]",0.238,0.762,0,No Violating Word present 
42,You keep talking about these thing should you do when you get there just a short time ago and you guy did nothing with their job and i really because i read because of barack obama for job,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.05452184031057339}, {'class_name': 'offensive_language', 'confidence': 0.46226894490711334}, {'class_name': 'neither', 'confidence': 0.4832092147823132}]",1,0,0,No Violating Word present 
43,Because i love u i look at you now your politician are run because i love you,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.11979551076816354}, {'class_name': 'offensive_language', 'confidence': 0.3890496007112006}, {'class_name': 'neither', 'confidence': 0.49115488852063593}]",0.641,0.359,0,No Violating Word present 
44,Gopichand who became a because what happened in here is,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.09445769942389108}, {'class_name': 'offensive_language', 'confidence': 0.3409997131088192}, {'class_name': 'neither', 'confidence': 0.5645425874672897}]",1,0,0,No Violating Word present 
45,You know who i am,No Violating Word present ,Violating word present,"[{'class_name': 'hate_speech', 'confidence': 0.06820745847746104}, {'class_name': 'offensive_language', 'confidence': 0.5198113117672538}, {'class_name': 'neither', 'confidence': 0.4119812297552853}]",1,0,0,No Violating Word present 
46,You know who he wa,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.06640388579085858}, {'class_name': 'offensive_language', 'confidence': 0.4543161835749855}, {'class_name': 'neither', 'confidence': 0.4792799306341559}]",1,0,0,No Violating Word present 
47,You know which character you know my cat,No Violating Word present ,Violating word present,"[{'class_name': 'hate_speech', 'confidence': 0.0538001601377588}, {'class_name': 'offensive_language', 'confidence': 0.4781797571909101}, {'class_name': 'neither', 'confidence': 0.468020082671331}]",1,0,0,No Violating Word present 
48,Innova piche syster anarkali natur,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03945320844208391}, {'class_name': 'offensive_language', 'confidence': 0.33037608806864915}, {'class_name': 'neither', 'confidence': 0.630170703489267}]",1,0,0,No Violating Word present 
49,I am anxious to have this raised,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.04411997174969791}, {'class_name': 'offensive_language', 'confidence': 0.33575011660330056}, {'class_name': 'neither', 'confidence': 0.6201299116470016}]",0.75,0,0.25,No Violating Word present 
50,I am anxious to see this take place,Violating Word present,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.0471650825108245}, {'class_name': 'offensive_language', 'confidence': 0.28716625154607606}, {'class_name': 'neither', 'confidence': 0.6656686659430995}]",0.778,0,0.222,No Violating Word present 
51,I am,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.03902346103501681}, {'class_name': 'offensive_language', 'confidence': 0.3305238979082658}, {'class_name': 'neither', 'confidence': 0.6304526410567174}]",1,0,0,No Violating Word present 
52,Character of the country on the ballot ok address book is costly,No Violating Word present ,No Violating Word present ,"[{'class_name': 'hate_speech', 'confidence': 0.044024078140000374}, {'class_name': 'offensive_language', 'confidence': 0.3187482869435884}, {'class_name': 'neither', 'confidence': 0.6372276349164111}]",0.735,0.162,0.103,No Violating Word present 
