,neu,pos,neg,new
0,0.594,0.406,0,No Violating Word present 
1,0.654,0.346,0,No Violating Word present 
2,1,0,0,No Violating Word present 
3,0,0,1,Violating word present
4,1,0,0,No Violating Word present 
5,1,0,0,No Violating Word present 
6,0.875,0.022,0.103,No Violating Word present 
7,1,0,0,No Violating Word present 
8,0.396,0.316,0.288,No Violating Word present 
9,1,0,0,No Violating Word present 
10,1,0,0,No Violating Word present 
11,0.901,0.099,0,No Violating Word present 
12,0.828,0.086,0.086,Violating word present
13,1,0,0,No Violating Word present 
14,1,0,0,No Violating Word present 
15,1,0,0,No Violating Word present 
16,0.733,0,0.267,No Violating Word present 
17,1,0,0,No Violating Word present 
18,0.541,0.459,0,No Violating Word present 
19,0.714,0.286,0,No Violating Word present 
20,1,0,0,No Violating Word present 
21,1,0,0,No Violating Word present 
22,1,0,0,No Violating Word present 
23,0,0,1,Violating word present
24,1,0,0,No Violating Word present 
25,0.909,0,0.091,Violating word present
26,1,0,0,No Violating Word present 
27,0.484,0.516,0,No Violating Word present 
28,1,0,0,No Violating Word present 
29,1,0,0,No Violating Word present 
30,1,0,0,No Violating Word present 
31,1,0,0,No Violating Word present 
32,0.729,0,0.271,No Violating Word present 
33,0.637,0.203,0.16,No Violating Word present 
34,0.753,0,0.247,No Violating Word present 
35,0.812,0.188,0,No Violating Word present 
36,0.926,0.074,0,No Violating Word present 
37,1,0,0,No Violating Word present 
38,1,0,0,No Violating Word present 
39,0.843,0.157,0,No Violating Word present 
40,1,0,0,No Violating Word present 
41,0.238,0.762,0,No Violating Word present 
42,1,0,0,No Violating Word present 
43,0.641,0.359,0,No Violating Word present 
44,1,0,0,No Violating Word present 
45,1,0,0,No Violating Word present 
46,1,0,0,No Violating Word present 
47,1,0,0,No Violating Word present 
48,1,0,0,No Violating Word present 
49,0.75,0,0.25,No Violating Word present 
50,0.778,0,0.222,No Violating Word present 
51,1,0,0,No Violating Word present 
52,0.735,0.162,0.103,No Violating Word present 
53,0,0,0,No Violating Word present 
