,0
0,No Violating Word  Alert!!
1,No Violating Word  Alert!!
2,No Violating Word  Alert!!
3,No Violating Word  Alert!!
4,No Violating Word  Alert!!
5,No Violating Word  Alert!!
6,Violating Word  Alert!!
7,No Violating Word  Alert!!
8,No Violating Word  Alert!!
9,No Violating Word  Alert!!
10,No Violating Word  Alert!!
11,No Violating Word  Alert!!
12,Violating Word  Alert!!
13,No Violating Word  Alert!!
14,No Violating Word  Alert!!
15,No Violating Word  Alert!!
16,No Violating Word  Alert!!
17,No Violating Word  Alert!!
18,No Violating Word  Alert!!
19,No Violating Word  Alert!!
20,No Violating Word  Alert!!
21,No Violating Word  Alert!!
22,No Violating Word  Alert!!
23,No Violating Word  Alert!!
24,No Violating Word  Alert!!
25,Violating Word  Alert!!
26,No Violating Word  Alert!!
27,No Violating Word  Alert!!
28,No Violating Word  Alert!!
29,No Violating Word  Alert!!
30,No Violating Word  Alert!!
31,No Violating Word  Alert!!
32,No Violating Word  Alert!!
33,Violating Word  Alert!!
34,Violating Word  Alert!!
35,No Violating Word  Alert!!
36,No Violating Word  Alert!!
37,No Violating Word  Alert!!
38,No Violating Word  Alert!!
39,Violating Word  Alert!!
40,No Violating Word  Alert!!
41,No Violating Word  Alert!!
42,No Violating Word  Alert!!
43,No Violating Word  Alert!!
44,No Violating Word  Alert!!
45,No Violating Word  Alert!!
46,No Violating Word  Alert!!
47,No Violating Word  Alert!!
48,No Violating Word  Alert!!
49,Violating Word  Alert!!
50,Violating Word  Alert!!
51,No Violating Word  Alert!!
52,Violating Word  Alert!!
53,No Violating Word  Alert!!
